location,HighestdeathCount
French Polynesia,649
Afghanistan,7875
Luxembourg,1207
British Virgin Islands,64
Turks and Caicos Islands,38
Greece,34779
Nigeria,3155
Austria,21658
Kiribati,18
Kuwait,2570
Oman,4628
Myanmar,19490
Syria,3164
Cook Islands,2
Panama,8594
Timor,138
Peru,218711
New Zealand,2468
Greenland,21
Russia,386952
South Sudan,138
Spain,118434
North Macedonia,9638
United Kingdom,217262
Estonia,2904
Tajikistan,125
Benin,163
Namibia,4083
Cuba,8530
Slovakia,20929
Solomon Islands,153
Niger,315
Saint Lucia,409
Tonga,13
Angola,1931
Zambia,4044
Italy,186833
Qatar,686
Maldives,311
Armenia,8717
North Korea,6
Sri Lanka,16826
Kosovo,3202
Guinea-Bissau,176
Central African Republic,113
San Marino,122
Uzbekistan,1637
Belize,688
Montserrat,8
Iceland,238
Tanzania,846
Jamaica,3480
Vanuatu,14
Andorra,165
Zimbabwe,5652
Lebanon,10784
Liechtenstein,89
Belarus,7118
Iraq,25375
Botswana,2876
Isle of Man,116
Slovenia,7055
Anguilla,12
Turkmenistan,null
Somalia,1361
Canada,50503
Azerbaijan,10080
Mexico,332026
Haiti,860
Eswatini,1422
Gambia,372
Northern Mariana Islands,null
Palestine,5708
Papua New Guinea,669
Democratic Republic of Congo,1463
Saint Helena,null
Guam,null
Cayman Islands,37
Sudan,5001
Barbados,571
Uruguay,7601
Switzerland,14244
Sao Tome and Principe,77
Pakistan,30640
Fiji,883
Liberia,294
Mozambique,2233
Poland,118713
Gibraltar,111
Samoa,29
Honduras,11102
Scotland,null
Serbia,17681
Togo,290
Yemen,2159
Netherlands,23079
Algeria,6881
Malaysia,36938
Dominican Republic,4384
Tuvalu,null
Uganda,3630
Marshall Islands,17
Saint Vincent and the Grenadines,123
Chile,63745
Colombia,142186
Faeroe Islands,28
Congo,388
Bermuda,157
Libya,6437
Ireland,8462
Singapore,1720
Albania,3596
Philippines,65753
Nicaragua,245
Cambodia,3056
Japan,67058
South Korea,33361
Niue,null
Cape Verde,413
Saint Pierre and Miquelon,2
Bahamas,833
United States Virgin Islands,null
Saudi Arabia,9566
Vietnam,43186
France,164149
Curacao,301
Western Sahara,null
Bonaire Sint Eustatius and Saba,41
Bosnia and Herzegovina,16250
Tunisia,29302
Jordan,14122
Cameroon,1965
Guatemala,20092
Northern Cyprus,null
Eritrea,103
Senegal,1988
Wales,null
Nauru,1
Lesotho,723
Iran,144744
Tokelau,null
Pitcairn,null
Germany,165441
Israel,12170
Turkey,101492
Romania,67542
Burundi,38
Kenya,5688
England,null
United States,1107634
Micronesia (country),58
Hungary,48658
Thailand,33836
Mauritania,997
Moldova,11950
Brazil,696742
Georgia,16926
Macao,120
Brunei,225
Bulgaria,38174
Argentina,130394
Mali,743
Guinea,467
Ethiopia,7572
Palau,9
Vatican,null
Costa Rica,9142
Sint Maarten (Dutch part),null
Norway,5112
Montenegro,2796
Dominica,74
Ecuador,35942
Egypt,24805
Ukraine,118928
Equatorial Guinea,183
Laos,758
Belgium,33557
Taiwan,16204
India,530739
Cote d'Ivoire,833
Bolivia,22345
Portugal,25987
Mauritius,1043
Gabon,306
Cyprus,1287
Madagascar,1419
Puerto Rico,null
Malawi,2896
Burkina Faso,396
Aruba,281
El Salvador,4230
Guernsey,null
Australia,18615
Guyana,1294
Chad,194
Sweden,23279
China,77826
Latvia,6211
Finland,8639
Croatia,17855
Djibouti,189
Jersey,null
Wallis and Futuna,7
Nepal,12020
Czechia,42301
Trinidad and Tobago,4319
Denmark,8120
South Africa,102595
Rwanda,1468
Malta,824
Kazakhstan,19065
United Arab Emirates,2348
Northern Ireland,null
Suriname,1398
Bahrain,1542
Bangladesh,29441
Monaco,65
Mongolia,2136
Hong Kong,13280
Comoros,161
Morocco,16296
Bhutan,21
Seychelles,172
Grenada,238
Saint Kitts and Nevis,46
Paraguay,19820
Sierra Leone,126
New Caledonia,314
Ghana,1462
Antigua and Barbuda,146
Kyrgyzstan,2991
Falkland Islands,null
Venezuela,5845
Lithuania,9535
Indonesia,160801
